Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,HS_ID,Produkt_HS6,Produkt_HS4,Produkt_HS2,OEC ID,EU_Import_2022,CZ_Import_2022,Komplexita_vyrobku_2022,Svet_export_2022,Svet_export_2021,EU_export_2021,EU_export_2022,EU_svetovy_podil_2021,EU_svetovy_podil_2022,CZ_svetovy_podil_2021,CZ_svetovy_podil_2022,CZ_EU_podil_2021,CZ_EU_podil_2022,CZ_export_2021,CZ_export_2022,Pribuznost_CZ_2022,Vyhoda_CZ_2022,Koncentrace_trhu_2021,Koncentrace_trhu_2022,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST,Svet_2023_export,Svet_2024_export,Svet_2025_export,Svet_2026_export,Svet_2027_export,Svet_2028_export,Svet_2029_export,Svet_2030_export,CZ_2023_export,CZ_2024_export,CZ_2025_export,CZ_2026_export,CZ_2027_export,CZ_2028_export,CZ_2029_export,CZ_2030_export,CZ_Total_Export_25_30,EU_2023_export,EU_2024_export,Eu_2025_export,EU_2026_export,EU_2027_export,EU_2028_export,EU_2029_export,EU_2030_export,EU_Total_Export_25_30
02. Green energy,02b. Energy storage,Batteries,LSE Navigator,IN,850619,"Primary cells, primary batteries nes, volume < 300 cc",Batteries,Electrical machinery and electronics,16850619,1470325986,64852022,1.15699348,4522275093,4292397040,1070557851,1059053244,0.249408,0.234186,0.007772,0.010433,0.031161,0.044549,33359623,47179283,0.341361143,1.043079841,0.076728032,0.082829847,,N,0.0400,4703166096.7200,4891292740.5888,5086944450.2124,5290422228.2209,5502039117.3497,5722120682.0437,5951005509.3254,6189045729.6984,42809244.7827,44521614.5740,46302479.1569,48154578.3232,50080761.4561,52083991.9144,54167351.5909,56334045.6546,307123208.0961,1137211141.9985,1182699587.6784,1230007571.1856,1279207874.0330,1330376188.9943,1383591236.5541,1438934886.0162,1496492281.4569,8158610038.2400
02. Green energy,02b. Energy storage,Batteries,LSE Navigator,IN,850720,Lead-acid electric accumulators except for vehicles,Electric Batteries,Electrical machinery and electronics,16850720,3100567797,85288928,0.003668918,9711800152,8543719614,2801144018,2819179912,0.327860,0.290284,0.002428,0.003063,0.007404,0.010553,20740533,29751684,0.289941917,0.306291545,0.082899917,0.112206241,,N,0.0400,10100272158.0800,10504283044.4032,10924454366.1793,11361432540.8265,11815889842.4596,12288525436.1579,12780066453.6043,13291269111.7484,27730467.3724,28839686.0673,29993273.5100,31193004.4504,32440724.6284,33738353.6135,35087887.7581,36491403.2684,198944647.2287,3121711231.3881,3246579680.6436,3376442867.8694,3511500582.5841,3651960605.8875,3798039030.1230,3949960591.3279,4107959014.9810,22395862692.7729
7. Consumer behaviour,7. Consumer behaviour,Consumer behaviour,LSE Navigator,OUT,560790,"Twine, cordage, ropes and cables, of other materials",Twine and Rope,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",11560790,76662430,1500357,,412615719,441623466,66773637,63523046,0.151200,0.153952,0.004020,0.006791,0.026588,0.044114,1775377,2802247,0.263237529,0.679021987,0.140088419,0.116877609,,N,0.0400,429120347.7600,446285161.6704,464136568.1372,482702030.8627,502010112.0972,522090516.5811,542974137.2443,564693102.7341,2319724.9551,2412513.9533,2509014.5114,2609375.0919,2713750.0956,2822300.0994,2935192.1034,3052599.7875,16642231.6892,65473564.2896,68092506.8611,70816207.1356,73648855.4210,76594809.6378,79658602.0234,82844946.1043,86158743.9485,469722164.2705
7. Consumer behaviour,7. Consumer behaviour,Consumer behaviour,LSE Navigator,OUT,441830,"Wood posts and beams, excluding builders' joinery and carpentry products",Wood Carpentry,"Wood, wood articles, & charcoal",9441830,52764228,359452,,79880198,69539477,47591806,52388511,0.684385,0.655839,0.002909,0.001913,0.004251,0.002917,202299,152811,0.336703365,0.191266397,0.059712918,0.077114426,,N,0.0400,83075405.9200,86398422.1568,89854359.0431,93448533.4048,97186474.7410,101073933.7306,105116891.0799,109321566.7230,200300.0716,208312.0745,216644.5574,225310.3397,234322.7533,243695.6635,253443.4900,263581.2296,1436998.0335,55669825.0973,57896618.1012,60212482.8252,62620982.1382,65125821.4238,67730854.2807,70440088.4520,73257691.9900,399387921.1100
7. Consumer behaviour,7. Consumer behaviour,Consumer behaviour,LSE Navigator,OUT,630510,Sacks & bags of jute or other bast fibres,Packing Bags,Used clothes & textile articles,11630510,56618266,618992,,332289869,290015580,16288217,19306249,0.056163,0.058101,0.001102,0.000943,0.019629,0.016224,319725,313220,0.218032577,0.094244405,0.185212628,0.275099094,,N,0.0400,345581463.7600,359404722.3104,373780911.2028,388732147.6509,404281433.5570,420452690.8992,437270798.5352,454761630.4766,353365.9479,367500.5858,382200.6093,397488.6336,413388.1790,429923.7061,447120.6544,465005.4805,2535127.2629,19743738.2404,20533487.7700,21354827.2808,22209020.3720,23097381.1869,24021276.4344,24982127.4918,25981412.5915,141646045.3574
7. Consumer behaviour,7. Consumer behaviour,Consumer behaviour,LSE Navigator,OUT,530599,"Vegetable fibre nes, processed not spun, tow & waste",Coconut and Other Vegetable Fibers,"Vegetable textile fibers, paper yarn & fabrics",11530599,136311740,1052831,-2.105953928,762825139,908254272,41230750,34541002,0.045396,0.045280,0.000101,0.000210,0.002220,0.004629,91533,159890,0.194335424,0.020956536,0.346495083,0.227007262,,N,0.0400,793338144.5600,825071670.3424,858074537.1561,892397518.6423,928093419.3880,965217156.1636,1003825842.4101,1043978876.1065,123118.7311,128043.4803,133165.2196,138491.8283,144031.5015,149792.7615,155784.4720,162015.8509,883281.6337,35968352.6127,37407086.7172,38903370.1859,40459504.9933,42077885.1930,43761000.6007,45511440.6248,47331898.2498,258045099.8474
7. Consumer behaviour,7. Consumer behaviour,Consumer behaviour,LSE Navigator,OUT,530310,"Jute and other textile bast fibres, raw or retted",Jute and Other Textile Fibers,"Vegetable textile fibers, paper yarn & fabrics",11530310,7776848,890388,,251703817,227529114,11276443,2932771,0.049560,0.011652,0.000312,0.000088,0.006296,0.007557,70991,22162,0.177261969,0.008803236,0.43184289,0.607421797,,N,0.0400,261771969.6800,272242848.4672,283132562.4059,294457864.9021,306236179.4982,318485626.6781,331225051.7453,344474053.8151,52361.7697,54456.2405,56634.4901,58899.8697,61255.8645,63706.0991,66254.3430,68904.5168,375655.1832,8011807.9170,8332280.2337,8665571.4430,9012194.3007,9372682.0728,9747589.3557,10137492.9299,10542992.6471,57478522.7491
02. Green energy,02c. Grid,Distribution and transmission,"European Commission: ""Trade as a measure of innovation performance: Selection and assessment of trade indicators"" https://www.camecon.com/wp-content/uploads/2021/07/CEII-report.pdf",IN,853620,"Automatic circuit breakers for < 1,000 volts",Low-voltage Protection Equipment,Electrical machinery and electronics,16853620,3643903282,429494817,0.170469576,10404359606,9717781363,4470791182,4597937327,0.460063,0.441924,0.074921,0.076886,0.162850,0.173981,728066802,799952291,0.359709921,7.687266281,0.055009735,0.065128412,,N,0.0400,10820533990.2400,11253355349.8496,11703489563.8436,12171629146.3973,12658494312.2532,13164834084.7434,13691427448.1331,14239084546.0584,821318308.4332,854171040.7705,888337882.4014,923871397.6974,960826253.6053,999259303.7495,1039229675.8995,1080798862.9355,5892323376.2887,4879990815.6177,5075190448.2424,5278198066.1721,5489325988.8190,5708899028.3717,5937254989.5066,6174745189.0869,6421734996.6503,35010158258.6066
02. Green energy,02c. Grid,Distribution and transmission,"HAL open science paper: ""Competitive advantage in the renewable energy industry: Evidence from a gravity model"" by Onno Kuik, Frédéric Branger, Philippe Quirion, 2019; https://hal.science/hal-04431247/document",IN,854459,"Electric conductors, 80-1,000 volts, no connectors",Insulated Wire,Electrical machinery and electronics,16854459,10713,,-1.163297117,160631814,410590775,35160622,9798101,0.085634,0.060997,0.000268,0.000003,0.003127,0.000045,109938,438,0.251996727,0.000272625,1.552888255,0.142647454,,N,0.0400,167057086.5600,173739370.0224,180688944.8233,187916502.6162,195433162.7209,203250489.2297,211380508.7989,219835729.1509,22592.9994,23496.7194,24436.5882,25414.0517,26430.6138,27487.8383,28587.3519,29730.8459,162087.2898,12247914.4245,12737831.0015,13247344.2416,13777238.0112,14328327.5317,14901460.6329,15497519.0583,16117419.8206,87869309.2963
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850164,"AC generators, of an output > 750 kVA",Electric Motors,Electrical machinery and electronics,16850164,1209155394,6694870,0.632597862,3468905758,3567557520,1556184859,1549299940,0.436205,0.446625,0.046820,0.051868,0.107335,0.116133,167032416,179925296,0.350494062,5.185885424,0.127909759,0.09531077,0.0580,Y,0.0580,3670102291.9640,3882968224.8979,4108180381.9420,4346454844.0946,4598549225.0521,4865265080.1051,5147450454.7512,5446002581.1268,181097253.6833,191600894.3969,202713746.2719,214471143.5557,226910469.8819,240071277.1351,253995411.2089,268727145.0591,1406889193.1127,1620037346.3377,1713999512.4253,1813411484.1459,1918589350.2264,2029867532.5395,2147599849.4268,2272160640.6936,2403945957.8538,12585574814.8861
